movie_title,original_description,true_genre,predicted_genre
Shanghai Calling,"A New York attorney is sent to Shanghai on business, where he finds himself in a legal mess that threatens his career. With the help of a relocation specialist and her contacts, he soon learns to appreciate the wonders of Shanghai.",romance,action
Black Rose of Harlem,"A tragic love story set against the turbulent backdrop of the 1920's Chicago jazz clubs. Georgia, a beautiful black singer catches the eye of mobster Johnny Varona. But Johnny is betrothed",action,romance
Gaston's War,A true story about a Flemish resistance warrior.,romance,action
What's New About Love?,"Six friends meet every evening in a basement to make music. During the daytime, there are no rehearsals for what life brings us. Each endeavour leaves its mark. Six short films by six different directors dealing with the troubles of youth.",romance,horror
Year of the Fish,A rotoscope-animated modern-day Cinderella story set in the underbelly of New York's Chinatown.,romance,action
Strippers vs Werewolves,"When werewolf Mickey is accidentally killed in a strip club, the girls who work there have until the next full moon before his bloodthirsty wolf pack seek murderous retribution.",action,horror
American Pastime,The dramatic impact W.W.II had in the home-front as U.S. Japanese families were uprooted from their daily lives and placed in internment camps in western States in the early 1940s.,romance,action
Stakeout,"Two detectives observe an escaped convict's ex-girlfriend, but complications set in when one of them falls for her.",action,romance
Aftermath,"In post-apocalyptic mayhem, a group of survivors flee to the woods only to be viciously attacked by a brotherhood of sociopathic strangers.",action,horror
Misty: Illusive,"Misty is on a quest to find the one person who messed with her home kind and she is offered a job she couldn't refuse. But when things get so wrong, she now has to face the dark reality of human society.",action,horror
To Catch a Thief,A retired jewel thief sets out to prove his innocence after being suspected of returning to his former occupation.,romance,action
Crack Whore,"The story of a Crack addicted prostitute named Honey. A girl who goes to a party out in the desert where she falls victim to drugs and gang rape. Spoon feeding herself crack, Honey decides to settle the score.",horror,action
Alone,"After a college student named Lilly McVice moves into her first apartment, she befriends a stranger online on a social media website. At first, she thinks the stranger is nice and friendly,",horror,romance
The Adventures of Chris Fable,"Young runaway Christ lives with a group of misfits in a junkyard, stealing to survive. When a traveling preacher tells him that his father is alive and wants him to come home, Chris must",action,horror
DELKA: Stand-Up Tall or Fall,A young gymnast immigrates from the Iron Curtain of Bulgaria finding liberation to the Land of the Free through an International psychedelic Traveling Circus.,romance,action
Mammaluna,"Little Sofia, who lives in a public apartment in Rome, has lost her father and decides to save her mother Anna from her depression by taking her to the Moon with the help of Tommaso, who",action,romance
Jalan Kembali: Bohsia 2,"Also known as ""Bohsia 2: Jalan Kembali"", the movie is a sequel to ""Bohsia: Jangan Pilih Jalan Hitam"" in 2009. Syamsul Yusof returns to direct the story of a bohsia's life, played by Nabila",action,horror
Achtung! Feind hört mit!,This is the war and everybody in Germany should beware : the enemy is listening. One family in particular had better be even more careful than the average citizen of the Reich : the,romance,action
Merry Men 2,"Things have changed for the charming foursome, the Merry Men. They've hung the boots on robbing the rich to give to the poor and focus squarely on running their businesses. AYO ALESINLOYE,",action,romance
Innocent Blood,"Marie is a vampire with a thirst for bad guys. When she fails to properly dispose of one of her victims, a violent mob boss, she bites off more than she can chew and faces a new, immortal danger.",action,horror
Heartbeat,"Haunted by her troubled past, EMMA works as a hospital nurse while wrestling with murderous compulsions, but a romance with a young, terminally ill patient offers her a final chance at redemption.",romance,horror
Caos,Puerto Rico is losing confidence in its political parties that for years took over loyal fanatics. The people elected with its eyes closed their first independent governor only to have his,action,romance
Raja Babu,A man tries to become a better son after his intended bride rejects him and he learns he was adopted from a poor family.,action,romance
The Slayers,"Two cult members take a road trip in a motorhome before their predicted end of the world, but soon run into a team of vampire hunters and are recruited to help defeat an army of monsters.",horror,action
The Spies,"Kim Myeong-min (39) is Agent Kim, a family man who lives contentedly with his wife and two children. He is disguised as a manager in a company that sells fake Viagra imported from China.",action,romance
The Loop,Feature film based on the short film written and directed by Rich Ragsdale.,horror,romance
Transit 17,The year is 2026 - Europe has been devastated by a virus that has turned a huge portion of the population into zombies. But there are some who are holding on to some hope that they can live a normal life again - they are The Resistance.,action,horror
Beta,"Raju, the only heir of a millionaire, is brainwashed by his stepmother for her greed of his entire property.",romance,action
Ashface,A serial killer with a split personality gets involved with a mysterious masked organization that lurks in the shadows of the underground world. In order to survive he must fight and maybe learn the hidden truth about himself.,action,horror
The Beast of Yucca Flats,A defecting Soviet scientist is hit by a nuclear explosion near Yucca Flats and roams around as a beast.,horror,action
Four Deadly Reasons,"Sometimes when you turn over a new leaf all you find is dirt. This is a story that captures the inner struggle of a man determined to change his life and regain his freedom. Gambling debts,",action,romance
"Guru, the Mad Monk",A deranged 15th Century prison colony chaplain exploits his power to get money for his church including murder and grave robbing committed by his vampire mistress and one-eyed hunchback assistant.,horror,action
Don't. Stop. Running.,"Two estranged brothers - thrown together for a treasure hunt - soon find that they are the ones being hunted. As they race across an island wilderness they soon realise that if they want to survive, they'll have to work together.",action,horror
Bad Girl Mako,"Patronized by a gang ruling the city, Mako delinquently plays around a night club every night with her bad company. One night, a guy Hideo gets closer to her for one-night stand, and they",action,romance
Pedring Taruc,THE VISION FOR A BETTER SOCIETY OUTLIVES THE MAN WHO PASSIONATELY FOUGHT FOR IT IN HIS LIFE TIME.,action,romance
Mistress City,"A woman scorned, kidnapped at a young age to work in a brothel, sold by her parents to pay their debts, freed by a twist of fate to take vengeance on anyone in her way.",romance,action
Midway - Tra la vita e la morte,"Sara and Alex lost the son they were expecting due to miscarriage and since that day their life changed. Just when she least expected it, Sara gets pregnant but decides to wait the third month before telling Alex.",horror,romance
Scotland Yard Investigator,"At the outbreak of World War II, the famous 'Mona Lisa' is removed from the Lourve Museum in Paris, and stored for safekeeping in London. Sir James Collison, director of National Art Museum",action,romance
Naval Rage,"When terrorist strike the United States, a navy ship is first to respond against the aggressors. The ship is ambushed and attacked with a unknown gas that causes the exposed crew to go violently insane.",horror,action
Uttar Dakshin,"At the time of his mother's death, Raja comes to know that his father is still alive and living a wealthy life. Raja now befriends Shankran, his step-brother.",action,romance
Yellow,"Family: a necessary burden. Amaryllis Campos is young and beautiful, a classically trained dancer delivering pizzas in Puerto Rico, living with her parents and her drug-selling chump of a",romance,action
Life,A team of scientists aboard the International Space Station discover a rapidly evolving life form that caused extinction on Mars and now threatens all life on Earth.,horror,action
Chaostage,"Germany, on a normal weekend in the summer. Punks, skins, and autonomy - as their paths cross it comes to disaster - to the Chaos Days. The film tells a story about how it could happen",action,horror
It Cuts Deep,"While on Christmas vacation, a young couple contemplates their future together. Ashley is interested in getting married and having kids which terrifies Sam. When the more attractive and",horror,romance
Unakkagathane,"Rishi and Shan, friends from childhood, are both working as property consultants. Shan lets Rishi handle the big land sales because he trusts him and this way, Shan can also spend more time",action,romance
Into the Storm,"Storm trackers, thrill-seekers, and everyday townspeople document an unprecedented onslaught of tornadoes touching down in the town of Silverton.",action,horror
Hum Hain Khalnayak,"Widowed Havaldar Pandupatti would like to get his only child, a daughter named Madhuri, happily married, preferably to a Police Inspector. But Madhuri has eyes only for Bollywood",action,romance
Cold Ground,The lucky ones freeze to death.,horror,action
The Four Trees of Perdue Park,"Siblings, Josh and Claire are transported to another world after being involved in a devastating car crash. Together, they must dig deep and overcome personal obstacles as well as betrayal, lies, magic and love to make it home.",action,romance
Flamenco Killer,"Lola a former FBI agent, widow and single mum, now teaches flamenco in her boutique academy in Manhattan Beach. Her skills in the field are going to get her an unexpected side job:",action,romance
Vagabunda,"Tired of working in seedy places, a stripper turns to prostitution in the streets.",romance,action
Tôkyô shôjo,"The occurrence of an earthquake in Japan is not unusual. What would be, however, is the existence of a hole through time and the passage of a phone through which two people - one hundred",romance,horror
The Crying Game,"A British soldier kidnapped by the IRA soon befriends one of his captors, who then becomes drawn into the soldier's world.",romance,action
Monsoon,"Kit, a British man of Vietnamese heritage, returns to Saigon for the first time in over 30 years after leaving the country with his parents, when he was six years old, at the end of the Vietnam War.",romance,action
The Tree,"After the death of her father, an 8-year-old girl becomes convinced that he is whispering to her through the leaves of the gargantuan tree that towers over her house.",romance,horror
Director,A struggle between a Director and an inspector to find a missing girl.,romance,action
Le Bossu,"Prince Philippe de Gonzague decides to get rid of his cousin Duke de Nevers, having wished for long his properties and wealth.",action,romance
The Island,"THE ISLAND Is a film created primarily to showcase the best of Nigerian culture and to give viewers an in-depth, enjoyable cultural experience whilst celebrating the efforts of the Nigerian",action,romance
Dashi mannal daeggaji,"Two strangers, victims of a mountain climbing accident, await rescue by getting to know one another and eventually making love. The woman becomes pregnant, but has no hope of contacting the",romance,horror
Perfect Rivals,Two rivaling families compete to make Singapore's best bak kwa in an upcoming contest.,romance,action
Kantai Collection: KanColle Movie,Animated film based of the video game series Kantai Collection.,action,horror
Inner Circle,"Inner Circle is a thriller drama about love, fear and mortality. When her biological mother commits suicide, Isobel suspects foul play, that her mother was in fact murdered, by one of the",romance,horror
Lei sa Gu Su,Set in the Ming Dynasty of China. The daughter of administrator of Wuxi County is cheated by the son of a high-rank official and has a child. Then she lives a tragic life and dies in desperation finally because of ethics of the time.,romance,action
Amy Generation C,"After a decade of intense research based on changing the course of modern medicine, a scientist spends a weekend away with his wife hoping to mend their relationship, but instead find",horror,romance
Angrez,"Locked inside a hospital supply closet, an odd couple encounters an unexpected presence.",romance,horror
The Moonstone,"Typical Monogram whodunit from the 30's, with dialogue and sound effects based on the well known mystery book with same title. A valuable gem from India is stolen in an old dark mansion and",romance,action
Rape Panic Mansion,"Namiko, a bank employee, is taken hostage by vicious bank robbers who do not hesitate to kill. However, their purpose was not to collect bills but to rape and play with women's bodies.",horror,action
Revenge of the Red Baron,The Red Baron returns in a toy plane to kill the former World War I ace that shot him down.,horror,action
Artificial Twins,"Every Human has a soul, what happens when it splits?",action,horror
Hoodoo Browne,A boy in a situation requiring a choice between equally undesirable alternatives sees an opportunity in a lonesome drifter who runs out of gas in his small town.,action,romance
Chalet Girl,"Former skateboard champion Kim wants to make more money after her mother's tragic death. She joins the elite posh servicing company, which sends her off to Austria.",romance,action
Altered,A young undercover cop fights to control a constantly changing reality while trying to maintain her own grip on sanity when she joins the hunt for a brutal serial killer.,horror,action
Dezenove Mulheres e Um Homem,"Eighteen college students from São Paulo and their professor decide to take an excursion to Paraguay by renting a bus from a company whose director, Rubens, decides to serve as a driver and",action,romance
Güllü Geliyor Güllü,"Gullu, who is a pure-hearted, authentic, young woman from Turkey's Black Sea region, comes to Istanbul to kill Kumcularin Ali in a family blood feud. An acquaintance, Taka Nuri, tries to help her during her stay to find her enemy.",romance,action
Out of Body,"When Mal's body is hijacked by an escaped demon, his spirit must catch Henry's attention, and after a hilarious series of misadventures, they battle the demon to get Mal's body back and win their happily-ever-after.",romance,horror
Henry Richardson,Henry Richardson 18 year old is a kid spy who returns from the dead.,action,romance
The Big Town Round-Up,"Alice Beaumont, daughter of a San Francisco, California, capitalist, captures the attention of rancher Larry McBride by pretending to have been bitten by a rattlesnake in the Arizona",action,romance
The Love Route,"Neighboring ranchers John Ashby and Allene Houston are in love, but their fathers' violent feud over the route of the new X. Y. Z. Railroad eventually drives them apart. Colonel Houston and",romance,action
Witch on the Holy Night,"A witch lives by herself in an old mansion. She gets two apprentices, and her closed world starts to open up.",action,horror
Woman in Autumn,"While 1948 Greece is in the grip of a Civil War (the first battle of the Cold War), a young dedicated schoolteacher arrives at the children's camp on the island of Rhodes, recruited by",romance,action
Novo,"Graham struggles to connect the pieces of his shattered short-term memory. Unable to recall the most basic facts of his life and his sexual past, he quickly falls prey to the erotic appetites of the women he encounters.",romance,horror
Thunder in Dixie,"Mickey Arnold is a loving husband and a good friend to Ticker Welsh. However, when Mickey finds out that Ticker has seduced his wife, their friendship collapses. Now, the two are in a",action,romance
Denzura,"CHAD (Neysser Swords) is a fighter who seeks to be the best without losing his principles. In the search for his dream, he meets VINCENT (Humberto Fuentes Gastelum), a millionaire",action,romance
Ame Leve,"Jamie and Kenza meet after an unexpected breakup and a loss of a family member. They fall in love, it seems to perfect to be true. That's because it is!",action,romance
Sabaibu #2,Two more tales of innocent women struggling against the odds to escape impossible situations.,horror,romance
"Billy the Kid, the Sunsine Gid Plus the Never Mind Company","THE MOVIE WITH ANACHRONISTIC REFERENCES TO HOLLYWOOD, WESTERN CHARACTERS IN ITS TITLE, ISA FARCICAL TAKE OFF ON ""SPAGHETTI WESTERNS""",action,romance
The Red Jasmine,"In Tondo, Manila, a young girl named Jasmine witnesses the killing of her parents and younger brother by a drug lord syndicate. She unknowingly makes a deal with the devil to seek revenge",horror,action
Vazhiyorakkazhchakal,A man with a dark past helps a woman bring her husband back from a vegetative state.,action,romance
The Persian Version,"When a large Iranian-American family gathers, a family secret is uncovered that catapults the estranged mother and daughter into an exploration of the past, and to discover they are more alike than they know.",romance,action
Animal,"When plans for a weekend vacation hit a dead end, a group of close-knit friends find themselves stranded in unfamiliar territory, pursued by a menacing, blood thirsty predator.",action,horror
Combustion,"Ari works with her boyfriend and another criminal, where she seduces rich men and the 2 men rob them. She seduces Mikel. Her partners aren't happy until he joins them in illegal car racing. And Mikel's rich fiancee...?",action,romance
Faithless,"Lars meets the smoldering Karis at a nightclub. Instantly drawn to each other, they embark on a night of frenzied sex. What follows is a riveting story of obsession, lust and revenge, ultimately revealing that everyone has their own truth.",romance,horror
A Touch of Sin,Four independent stories set in modern China about random acts of violence.,action,horror
Midnight Alibi,"A gambler hides out from some gangsters in an old lady's house. Later he's arrested for murder, but the old woman provides him with an alibi by saying he was with her on the night of the murder.",romance,action
Keith Loves Ava,"While making a documentary about the town he's from, his life there and it's inhabitants, Keith meets Ava, who he quickly falls in love with. As his life slowly falls apart around him, he",horror,romance
Banking on Love,"When a bank is robbed, the Assistant Bank Manager steals the balance of the bank's cash. When a Working Girl at the Hot Box Ranch takes the stolen cash from the Bank Robber, the Banker and",romance,action
Stunde Null,"Leipzig area in 1945. The American occupying forces withdraw to the Elbe river, leaving the territory to the Russians.",romance,action
Azad Mohabbat,"The story revolves around the life of the protagonist---a fearless and brave man fighting for his love against the whole corrupt system trying to separate the couple with their power, leading to consequences.",romance,action
Red Water,"The Special forces are called in to rescue the President's daughter after a lab created Virus called ""Red Water"" turns the infected into Zombies.",horror,action
Seven Days to Sunday,A genial but meticulous assassin returns home for one week to take care of unfinished business when things quickly unravel.,action,horror
Gary Come Home,Make way for the story of a young french bulldog who runs away from home to the big city. During his journey the young french bulldog named Gary bumps into some new furry four-legged,action,romance
Three Sickxty,"Ricky Wilson (Calvin Willis) is on top of his game in this chilling urban thriller, breaking all the rules in true playa style. He knows what women want, and he gives it to them - all of",horror,action
Just Crawl,Two mortally wounded women must make it to the top of a hill to survive.,horror,action
Excitação,"Helena and Renato are a couple who leave behind the big city to live in the comfort of a beach house, far from all their previous complications when the wife started to suffer with strange",horror,romance
Berdugo,The scariest moments from the greatest shock films of all time.,action,horror
Make Your Paths Straight,"Fleeing into the woods after committing a crime, Craig meets Walter, a man who has made his home in the forest. Walter takes Craig under his wing, and tries to help him become a new man, but this process is painful and dangerous.",action,horror
Mariposa: Sa hawla ng gabi,"A farm girl's attempt to take her sister back to the province, unravels the horrors of the big city.",action,horror
Halt: The Motion Picture,A couple is pulled over by police. When a simple traffic stop becomes a nightmare they will never forget.,action,horror
Neverland,"Several friends trace their adolescence lived in 1997 in Albania, a period in which the country went through a dramatic social and economic crisis.",action,romance
Creature from the Haunted Sea,"A secret agent, XK150 tries infiltrate a criminal gang led by Renzo Capetto.",horror,action
The Trouble with Spies,"George Trent (James Willis), a British spy, has gone incommunicado in Ibiza. Appleton Porter (Donald Sutherland) is sent to find out what happened to Trent. Porter settles into a small",action,romance
Endangered Species,A killing machine from another world comes to Earth to kill humans.,horror,action
Pandora,"Haunted by the past, Ray (Philip Broadbent) is a washed-up musician with nearly nothing left to live for. Only the broken-down relationship with his daughter Joanna (Lydia Lakemoore) keeps",horror,romance
'Di puwedeng hindi puwede!,"Carding (Robin Padilla) is an ex-convict who is trying to start a new life by working as a rent-a-car driver. But one day, he gets hired by Kristine (Vina Morales), a beautiful young woman",action,romance
Hitler,A protective and caring brother overcomes plethora of challenges to unite his family after understanding his father's side of story,action,romance
Pranayakalathu,"Pranayakalathu is a 2001 Indian Malayalam film, directed by S.P. Sankar and produced by Sabari Visual Media. The film stars Sathaar, Hema, Rudraprathap and Mala Aravindan in lead roles. The",romance,action
The Fantasticks,A mysterious fair that comes to a small community in the countryside could make real the illusions of two teenagers.,romance,horror
Residence 3,"It is the end of days as the zombies are fully adapted, our heroes must find a scientist surviving in an 80's fun park and then journey to the place where it all began, The Laboratory.",action,horror
"Good Girl, Bad Girl","A writer needs funds to make a film based on her screenplay. She will stop at nothing to get the bucks including dancing at a nude bar, stealing cash and hijacking snakes.",romance,action
The Confessional,A disturbed sculptor assumes the identity of a small town priest and designs a game of divine madness for a unsuspecting town.,action,horror
Aruakh,"In the boundless Kazakh steppe, the old man Agatay lives in a house on a hill. His beloved wife has died long ago, they had no children, and there are no relatives left. But Agatay doesn't",horror,romance
Road House,A night club owner becomes infatuated with a torch singer and frames his best friend/manager for embezzlement when the chanteuse falls in love with him.,action,romance
The Desert Song,"Shiek Yousseff, poses as a friend of the French while secretly plotting to overthrow them. Apposing Yousseff are the Riffs, whose secret leader, The Red Shadow, is Paul Bonnard, a professor",romance,action
Mayhem,"The bloody saga of two strangers brought together by a common need - to find the women they've lost. Rachel ran away, Misty was kidnapped; but nothing will stop Dino and Ziggy in their",action,horror
WWW: Work Weather Wife,Vick tricks his way into fragile family of Dimple and CJ. Film outlines major community issue of Honour Killings. CJ being a worker class doesn't have time for daily routine around the house and Vick outsmarts CJ on a scam.,romance,action
Liza,"Liza slowly replaces Melampo, Giorgio's dog. While she accepts it, Giorgio forces her to wear collars and leashes.",romance,horror
Un parallèle plus tard,"-Based in Montreal (Canada) for many years, Léandre is a computer scientist in charge of the protection of the Minister of Public Safety. After selling secret information to the Mafia, the",romance,action
Vampire Zombies... From Space!,"In 1957, the small town of Marlow is under attack by: see title",horror,action
Finding Love in New Zealand,The plot is under wraps.,romance,action
Waiting to Die,"In a post apocalyptic world two lost young men struggle to survive, emotionally and physically, as they grapple with their complicated relationship.",horror,romance
The Score,Two small time crooks drive to a secluded cafe for a big 'score'.,romance,action
I'm from Arkansas,"The national spotlight falls on Pitchfork, Arkansas when a local farmer's sow has 18 piglets. How the townspeople relate to city folk and handle fame is the ingredient for laughs.",romance,horror
Flickering,"Amidst the backdrop of public outrage and debate, selective Immigrants from Hell have been given total amnesty to be on the Earth and a chance to be productive citizens. While many agree to",horror,action
Pine Mountain Gladiator,"There is a man who's sole purpose is ridding the world of poverty. One problem, his methods are barbaric. In one town, known as Pine Mountain, Brad Dires begins preparations for the Super",horror,action
Police Wala,"After the brutal murder of Jagmohan's father, Inspector Rakesh Nath, his mother loses her mind and is unable to communicate with anyone. Jagmohan grows, educates himself, and becomes a",romance,action
Dangerous Games,Wild goings on in a private girl's junior high school.,action,romance
Los valientes de Guerrero,La pasiÃ³n y el odio gobiernan una pequeÃ±a villa mexicana.,action,romance
Lashkar,"Professor Anand lives a wealthy lifestyle in Bombay along with his wife, son, Raju, and a sister, Barkha, who will soon get married to Police Inspector Sumeet. Anand gets information that",action,romance
Mr. Billion,"When an American billionaire dies, his poor Italian nephew inherits everything, provided he can arrive in the USA to claim his inheritance before the deadline but the corporate lawyer-executor tries to steal the inheritance.",action,romance
Broken Notes,"Having lost his wife Mary to illness three years ago, James Sunderland is both distraught yet uplifted on receipt of a letter which is apparently from her. The letter is asking him to",horror,romance
I Am Ghost,A slacker-musician ghost haunts his flat to drive out new tenants but finds himself unexpectedly falling in love with one of them.,horror,romance
Nightkill,"A woman's lover poisons her cruel husband, a rich businessman, in front of her. She becomes more terrified when she finds the lover dead as well. A police detective suddenly shows up at her door.",horror,romance
The Empty Walls,"Alexis ""Lexi"" James, a little girl who grows up battling sexual, physical and emotional abuse at the hands of her caretaker (a former cop), strives to overcome the emptiness inside through",romance,horror
Spyder,"A portrait of a young woman with a vagabond soul. She experiences various levels of reality, between heaven and hell, ecstasy and horror, discovering the world of cinema and her first love.",romance,horror
State of Défacto,"When single mother Anahid Kalentz complains about the horrors of war, it falls on deaf ears, as her son and only family, David, has made the decision behind her back to enlist in what will",action,romance
Parwane,Like to share sargam picture how to share let me know,action,romance
Ulila ng Bataan,Sampaguita's humble dedication to the child left behind--your neighborhood child--or your own children.,action,romance
ACT 1978,ACT 1978 talks about a pregnant woman who chooses her own way to condemn the injustices caused by the bureaucratic system.,action,romance
Povestea dragostei,"The charmed pig from Creanga's ""Pig Story"" is actually a handsome extraterrestrial armored in an anti-pollution suit",romance,action
Amrica Shika Bika,"Going events is a group of young people wishing to immigrate to America because they thought that the golden opportunities to work, get rich quick, and achieve the dreams that were unable",action,romance
Accelerator,A Belfast man who steals cars for a living dreams of retiring to Barcelona. Suddenly he finds himself in conflict with a crazed gangster who desires the first man's girlfriend. The two,action,romance
City Rats,"Eight lost souls search for solutions to problems ranging from finding a better suicide method, to defeating creative block, to losing their virginity.",action,romance
Grom: Boyhood,"Twenty years before the 'Plague Doctor' events, Igor Grom was just a schoolboy who loved hanging out in the streets with his best friend while his dad spent nights at police work chasing",action,romance
Rivers Wash Over Me,"After his mother dies, Sequan, a sensitive teenager from Brooklyn, moves in with relatives living in a small town plagued with secrets hidden deep within its lush, rural Alabama terrain.",romance,horror
The GoodTimesKid,"Hoping to improve his life, the temperamental Rodolfo Cano enlists in the Army. But when another Rodolfo Cano receives his sign-up orders, the two Rodolfos' lives collide - with the first Rodolfo's girlfriend adding to the confusion.",action,romance
LoveBites: A Werewolf Romance,"Stacy seems to have everything. She's young, beautiful, with a great career, and friends, but one thing keeps getting in the way of finding true love....Stacy's a werewolf.",horror,romance
Dai xiang li dai nao ou zhou,"Obeying the wishes of his mother, a young sojourner heads out to Amsterdam to work for his cousin. Against his better judgment, he joins his cousin in the drug-trade.",action,romance
Jana,"Jana always stands for his villagers, against the atrocities committed by Veerapandi. Manimegalai, Veerapandi's daughter, falls in love with Jana, but is stunned when she learns about his past life.",action,romance
Exodus,A disgraced British General releases the deathly weaponised 'EXODUS' virus on the London Underground - to shame his government into admitting the development of the virus and it's planned deployment in a false flag operation.,horror,action
The Coincidence Makers,"What the rest of the world sees as random occurrences are, in fact, carefully orchestrated events designed to spark significant changes in the lives of their targets and sometimes even history.",romance,horror
The Love Story of Aliette Brunton,A faithless K.C.'s wife elopes with his opponent in a slum murder trial.,romance,action
Untitled Tex Murphy Project,A century-old riddle. A package. A killer. A mysterious woman. A missing man. A terrible secret. And Tex Murphy P.I. needs to shave. It can't get any worse.,romance,horror
Kanimdaki Barut,Definitely watch a great movie,action,romance
Dead Drunk,"It's last call at Chics Bar, but before the night is over someone will return to settle their tab, permanently.",horror,action
Ang titser kong pogi,"Joey Perez, a policeman goes to Subic as a Kindergarten teacher to secretly investigate the case where he was framed up. He becomes attached to Cynthia, a co-teacher and Jimbo, his student-",action,romance
The Kamenka Experiment,"PharmoTech develops enhancement drugs for the military. 5 soldiers are selected to take part in an experiment where they're locked in a seal chamber for 21 days. Kamenka 194 has been designed to make them strong, faster, more aggressive.",horror,action
The Yellow Squadron,"The year is 1954. The war in Korea has just ended and the superpowers stand by each side of the border. The peace in Europe is fragile and the cold war is imminent. At F8 - Air Force Base,",romance,action
Cooped Up,"After coming into contact with a potentially fatal virus, a bitter professional wrestler is forced to isolate himself in his childhood home for 21 days.",romance,horror
Uccisore,A mild mannered man is forced to deal with his dark past when a friend from his former life comes to collect on an old debt.,horror,action
Native,"Michela is a young doctor . After so many years away from his native country, she decides to return to take the job as director of a psychiatric clinic. But she will have to come to terms",horror,romance
Thanda,The story involves people from different floors of a building handling different kinds of stories in every flat. Its the summer-time and everyone's suffering from the humid heat of Dhaka.,action,romance
Codename Vasquez,"The Doctor is alone in the world--he is the last man on the planet. As he longs for his wife, he realizes that a greater threat awaits, that needs to be exterminated.",horror,action
